Square_Footage,Square_Footage,Num_Bathrooms,House_Price
4599,1,1,262382.8523
4272,3,3,985260.8545
3592,1,2,777977.3901
966,1,2,229698.9187
4926,2,1,1041740.859
3944,5,3,879796.9835
3671,1,2,814427.8614
3419,1,1,703413.1109
630,3,3,173875.0372
2185,4,2,504176.5061
1269,2,2,335332.5928
2891,2,3,635097.3959
2933,5,3,701133.8041
1684,5,3,440726.2848
3885,2,3,838719.4305
4617,5,1,1019192.661
3404,3,3,735850.8123
974,2,2,234261.65
1582,5,2,396246.3589
3058,2,1,672852.052
2547,4,2,586086.5685
3247,1,2,740174.0147
1475,2,3,370167.0909
2306,1,2,530824.1968
689,5,1,227515.3003
3234,1,3,652166.1424
3505,2,3,745670.6371
2399,4,1,513161.9512
1767,5,3,432357.9061
2028,2,3,434165.8966
3702,5,1,809686.2011
4056,3,3,883819.0911
4390,1,1,912468.0479
1146,3,1,281313.0614
3388,2,2,705923.3149
2935,4,2,656980.4604
1100,5,3,318266.2771
2863,1,3,582468.7977
2561,5,1,541967.6336
741,2,3,188531.4235
2541,5,1,565562.7504
3324,1,1,697574.5557
3112,2,3,666733.4735
1863,5,1,376388.0216
1978,4,2,485380.9502
3056,2,3,735678.4622
1275,2,2,296291.001
4514,4,3,1046315.896
534,3,1,187508.5853
3652,1,3,793995.2849
2455,3,2,527393.5129
2085,5,1,467768.1229
4443,4,3,981190.7829
3573,3,3,750481.7169
1521,2,3,377511.2685
3961,5,2,866877.3524
3113,5,2,731331.6611
4343,3,3,899382.8652
2000,3,1,485622.4019
661,4,1,147601.5516
4797,1,2,986006.8617
2481,3,1,509725.5507
1495,3,2,346932.6209
3842,2,3,863289.3969
4298,5,2,919295.8541
1775,1,2,406069.2709
1516,2,3,397346.1109
837,4,1,191117.1012
1378,4,2,384461.3548
1576,3,2,340980.7248
4493,3,3,951093.547
879,4,1,217010.4853
992,3,2,248224.0197
2562,1,3,538349.0962
4384,3,2,985223.9967
564,5,3,242865.9315
3068,3,1,654466.9454
2527,2,1,551967.8883
3195,1,1,663904.9927
1995,2,1,397482.748
891,2,2,209632.8415
4974,5,2,1107045.063
4061,1,1,787420.4041
2778,1,1,605371.7047
3599,1,1,721018.0639
700,1,2,199066.3789
3604,1,1,730047.4974
2954,5,1,627923.6172
4145,3,1,898283.8867
1304,2,3,277832.1057
3231,1,1,731490.1175
3273,3,3,688357.6485
2070,3,3,525582.3102
3190,2,1,684824.5349
4340,5,3,903251.9406
1528,4,1,323118.7393
1002,4,2,307101.6858
4993,3,2,1020324.757
1370,2,2,304730.5062
4988,4,2,1026397.297
706,3,3,199414.9426
1984,5,1,472657.6143
1363,4,1,340069.2298
3290,3,1,696709.4153
1063,3,2,266533.0539
4691,1,2,971514.762
2257,5,1,501305.549
2178,1,2,480961.442
3742,2,1,758977.8819
1559,1,1,364658.5286
2222,1,1,515813.7578
3814,4,1,834587.5118
3657,3,1,747384.0608
3125,5,1,667696.045
3229,1,1,645145.5398
2097,5,2,481368.1255
3560,1,1,740148.1938
3193,2,1,639073.1842
4127,1,2,886568.3132
1863,4,2,450941.1354
2481,3,2,513720.4418
2163,2,1,521205.601
